ORIG_FID,经度,纬度,value
215,407.0183153,912.4191994,4
216,398.0233037,936.3870124,4
217,392.1196306,936.0991512,4
218,387.2141997,935.4516014,4
219,382.0117506,931.9627273,4
220,375.0467052,928.0767568,4
221,829.4751403,927.030943,4
222,884.9232278,928.1562327,4
223,1015.881032,975.4389202,4
224,1011.692815,971.2548748,4
225,1008.63062,967.6994363,4
226,1004.318837,962.8834817,4
227,988.9751403,931.030943,4
228,990.7251403,932.780943,2
229,987.4751403,933.030943,4
230,985.9751403,935.030943,4
231,992.4751403,935.030943,4
232,981.5750213,936.1086278,4
233,979.3999216,933.4439769,4
234,977.3000406,930.8662921,4
235,984.4751403,936.530943,4
236,987.7251403,936.780943,4
237,990.9751403,937.030943,4
238,989.4751403,938.530943,4
239,982.9751403,938.530943,4
240,996.4403557,947.7877665,2
241,992.4403557,942.2877665,4
242,995.9751403,950.030943,3
243,988.9675625,945.7356361,4
244,993.1616993,949.5136637,3
245,985.4465525,941.5457143,4
246,983.8906892,940.0737419,4
247,987.7810036,940.7529153,3
248,998.4532546,956.5435165,4
249,996.4714373,953.9956093,4
250,994.743323,951.2330358,4
251,106.4751403,904.280943,4
252,109.9751403,904.780943,4
253,104.7251403,907.280943,4
254,111.9751403,908.530943,4
255,106.1093474,912.7208486,4
256,104.8593474,910.9708486,4
257,106.2251403,911.280943,4
258,108.4751403,913.530943,4
259,110.9751403,912.530943,4
260,108.4943912,901.1461574,4
261,348.0078682,878.1933985,3
262,340.2837934,875.3813909,3
263,333.8615853,871.2697977,3
264,328.8323431,866.051871,3
265,324.1046696,859.8902776,3
266,319.3769961,853.7286842,3
267,314.6548387,848.0986209,3
268,309.9381974,843.0000878,4
269,352.7251403,876.530943,4
270,352.2251403,879.280943,4
271,354.9751403,879.780943,4
272,358.2251403,877.280943,4
273,342.5027874,919.4224781,4
274,345.7099458,912.3911222,2
275,350.0689685,907.5453403,2
276,353.4736235,902.7675995,2
277,355.161496,897.015782,2
278,356.0869538,890.2218464,3
279,357.0124115,883.4279108,4
280,341.2251403,924.530943,4
281,336.9826673,921.6231432,3
282,338.4994562,915.6382843,3
283,341.8427653,909.327563,2
284,347.0125948,902.6909793,2
285,350.0771146,896.0657301,4
286,351.0363249,889.4518152,4
287,351.9955352,882.8379004,4
288,338.5997066,924.8232578,4
289,363.4413657,926.547502,4
290,356.3729877,926.1159363,4
291,349.3046097,925.6843705,4
292,343.6227805,924.7497653,4
293,366.9754856,923.2245612,4
294,366.9753475,916.1471139,4
295,366.9752094,909.0696666,4
296,371.5212857,923.5685246,4
297,371.9028275,916.353492,4
298,372.2843694,909.1384593,4
299,369.1530347,926.9696629,4
300,402.7954919,906.6311942,4
301,404.4252126,879.9776675,4
302,404.1238536,886.4966248,4
303,403.620991,893.6410903,4
304,403.1181284,900.7855557,4
305,405.0336705,908.5794363,4
306,405.2944788,904.3592199,4
307,407.5326575,906.307462,4
308,406.7871069,882.7440321,3
309,408.9528175,886.1965021,4
310,408.4605947,893.4621618,4
311,407.9683719,900.7278216,4
312,409.3370346,879.7973076,4
313,463.2251403,879.780943,3
314,462.9751403,882.530943,4
